,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec_x,Unnamed: 8_level_1,Opp,Opp_2,Tm_x,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,_x,key,Player,Tm_y,Cmp,Att,Att_2,Yds,Yds_2,Yds_3,TD,TD_2,TD_3,Int,Sk,Yds.1,Lng,Lng_2,Lng_3,Rate,Tgt,Rec_y,Fmb,FL,_y,Pos
0,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Matthew Stafford,DET,27,45,3,385,22,0,3,0,0,0,3,24,47,12,0,110.0,0,0,2,1,/players/S/StafMa00.htm,QB
1,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Kerryon Johnson,DET,0,0,16,0,49,13,0,0,0,0,0,0,0,9,7,,2,2,0,0,/players/J/JohnKe06.htm,RB
2,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,C.J. Anderson,DET,0,0,11,0,35,0,0,0,0,0,0,0,0,9,0,,0,0,0,0,/players/A/AndeC.00.htm,
3,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Ty Johnson,DET,0,0,1,0,6,0,0,0,0,0,0,0,0,6,0,,0,0,0,0,/players/J/JohnTy02.htm,
4,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Marvin Jones,DET,0,0,1,0,4,56,0,0,0,0,0,0,0,4,23,,4,4,0,0,/players/J/JoneMa02.htm,WR
5,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,T.J. Hockenson,DET,0,0,0,0,0,131,0,0,1,0,0,0,0,0,39,,9,6,0,0,/players/H/HockTJ00.htm,TE
6,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Danny Amendola,DET,0,0,0,0,0,104,0,0,1,0,0,0,0,0,47,,13,7,0,0,/players/A/AmenDa00.htm,
7,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Kenny Golladay,DET,0,0,0,0,0,42,0,0,1,0,0,0,0,0,13,,9,4,0,0,/players/G/GollKe00.htm,WR
8,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,J.D. McKissic,DET,0,0,0,0,0,24,0,0,0,0,0,0,0,0,12,,2,2,0,0,/players/M/McKiJ.00.htm,
9,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Jesse James,DET,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,,1,1,0,0,/players/J/JameJe00.htm,TE
10,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Nick Bawden,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,/players/B/BawdNi00.htm,
13,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Kyler Murray,ARI,29,54,3,308,13,0,2,0,0,1,5,33,45,9,0,75.2,0,0,0,0,/players/M/MurrKy00.htm,QB
14,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,David Johnson,ARI,0,0,18,0,82,55,0,0,1,0,0,0,0,18,27,,7,6,0,0,/players/J/JohnDa08.htm,RB
15,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Christian Kirk,ARI,0,0,1,0,12,32,0,0,0,0,0,0,0,12,10,,12,4,0,0,/players/K/KirkCh01.htm,WR
16,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Chase Edmonds,ARI,0,0,1,0,5,0,0,0,0,0,0,0,0,5,0,,1,0,0,0,/players/E/EdmoCh00.htm,
17,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Larry Fitzgerald,ARI,0,0,0,0,0,113,0,0,1,0,0,0,0,0,45,,13,8,0,0,/players/F/FitzLa00.htm,WR
18,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,KeeSean Johnson,ARI,0,0,0,0,0,46,0,0,0,0,0,0,0,0,15,,10,5,0,0,/players/J/JohnKe07.htm,WR
19,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Damiere Byrd,ARI,0,0,0,0,0,42,0,0,0,0,0,0,0,0,19,,7,4,0,0,/players/B/ByrdDa00.htm,WR
20,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Maxx Williams,ARI,0,0,0,0,0,15,0,0,0,0,0,0,0,0,15,,1,1,0,0,/players/W/WillMa04.htm,
21,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Charles Clay,ARI,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,,1,1,0,0,/players/C/ClayCh00.htm,
0,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Kyler Murray,ARI,25,40,3,349,4,0,0,0,0,0,3,20,54,7,0,90.5,0,0,1,0,/players/M/MurrKy00.htm,QB
1,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,David Johnson,ARI,0,0,7,0,14,0,0,1,0,0,0,0,0,4,0,,1,1,0,0,/players/J/JohnDa08.htm,RB
2,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Chase Edmonds,ARI,0,0,1,0,2,15,0,0,0,0,0,0,0,2,10,,2,2,0,0,/players/E/EdmoCh00.htm,
3,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Christian Kirk,ARI,0,0,0,0,0,114,0,0,0,0,0,0,0,0,34,,8,6,0,0,/players/K/KirkCh01.htm,WR
4,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Larry Fitzgerald,ARI,0,0,0,0,0,104,0,0,0,0,0,0,0,0,54,,11,5,0,0,/players/F/FitzLa00.htm,WR
5,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Damiere Byrd,ARI,0,0,0,0,0,45,0,0,0,0,0,0,0,0,13,,7,6,0,0,/players/B/ByrdDa00.htm,WR
6,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,KeeSean Johnson,ARI,0,0,0,0,0,31,0,0,0,0,0,0,0,0,31,,2,1,0,0,/players/J/JohnKe07.htm,
