,Year,Team,Week,,Sacked,Yards
0,2019,crd,1,/boxscores/201909080crd.htm,5,33
0,2019,crd,2,/boxscores/201909150rav.htm,3,20
0,2019,crd,3,/boxscores/201909220crd.htm,8,46
0,2019,crd,4,/boxscores/201909290crd.htm,4,35
0,2019,crd,5,/boxscores/201910060cin.htm,1,5
0,2019,crd,6,/boxscores/201910130crd.htm,0,0
0,2019,crd,7,/boxscores/201910200nyg.htm,2,15
0,2019,crd,8,/boxscores/201910270nor.htm,4,23
0,2019,crd,9,/boxscores/201910310crd.htm,3,37
0,2019,crd,10,/boxscores/201911100tam.htm,2,8
0,2019,crd,11,/boxscores/201911170sfo.htm,4,19
0,2019,crd,13,/boxscores/201912010crd.htm,6,39
0,2019,crd,14,/boxscores/201912080crd.htm,5,29
0,2019,crd,15,/boxscores/201912150crd.htm,0,0
0,2019,crd,16,/boxscores/201912220sea.htm,2,8
0,2019,crd,17,/boxscores/201912290ram.htm,1,3
0,2018,crd,1,/boxscores/201809090crd.htm,2,8
0,2018,crd,2,/boxscores/201809160ram.htm,1,7
0,2018,crd,3,/boxscores/201809230crd.htm,4,25
0,2018,crd,4,/boxscores/201809300crd.htm,1,9
0,2018,crd,5,/boxscores/201810070sfo.htm,1,6
0,2018,crd,6,/boxscores/201810140min.htm,4,32
0,2018,crd,7,/boxscores/201810180crd.htm,6,40
0,2018,crd,8,/boxscores/201810280crd.htm,3,19
0,2018,crd,10,/boxscores/201811110kan.htm,5,42
0,2018,crd,11,/boxscores/201811180crd.htm,1,8
0,2018,crd,12,/boxscores/201811250sdg.htm,2,18
0,2018,crd,13,/boxscores/201812020gnb.htm,2,16
0,2018,crd,14,/boxscores/201812090crd.htm,3,22
0,2018,crd,15,/boxscores/201812160atl.htm,7,50
0,2018,crd,16,/boxscores/201812230crd.htm,4,23
0,2018,crd,17,/boxscores/201812300sea.htm,6,36
0,2017,crd,1,/boxscores/201709100det.htm,1,5
0,2017,crd,2,/boxscores/201709170clt.htm,4,26
0,2017,crd,3,/boxscores/201709250crd.htm,6,42
0,2017,crd,4,/boxscores/201710010crd.htm,6,40
0,2017,crd,5,/boxscores/201710080phi.htm,2,15
0,2017,crd,6,/boxscores/201710150crd.htm,2,11
0,2017,crd,7,/boxscores/201710220ram.htm,3,17
0,2017,crd,9,/boxscores/201711050sfo.htm,0,0
0,2017,crd,10,/boxscores/201711090crd.htm,2,17
0,2017,crd,11,/boxscores/201711190htx.htm,2,13
0,2017,crd,12,/boxscores/201711260crd.htm,1,5
0,2017,crd,13,/boxscores/201712030crd.htm,7,34
0,2017,crd,14,/boxscores/201712100crd.htm,8,53
0,2017,crd,15,/boxscores/201712170was.htm,5,44
