,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Officials,Officials_2
0,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Referee,Scott Novak
1,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Umpire,Ramon George
2,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Down Judge,Derick Bowers
3,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Line Judge,Walt Coleman IV
4,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Back Judge,Terrence Miles
5,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Side Judge,Chad Hill
6,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Field Judge,Mike Weatherford
0,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Referee,Ronald Torbert
1,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Umpire,Terry Killens
2,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Down Judge,Sarah Thomas
3,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Line Judge,Mark Steinkercher
4,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Back Judge,Anthony Josselyn
5,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Side Judge,Scott Edwards
6,2,Sun,September 15,1:00PM ET,boxscore,L,,0-1-1,@,Baltimore Ravens,23.0,17.0,15.0,26.0,349.0,440.0,329.0,258.0,20.0,182.0,,,5.48,-11.6,-4.18,/boxscores/201909150rav.htm,0,Field Judge,Ryan Dickson
0,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Referee,Craig Wrolstad
1,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Umpire,Steven Woods
2,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Down Judge,Patrick Turner
3,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Line Judge,Tripp Sutter
4,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Back Judge,Scott Helverson
5,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Side Judge,Jeff Lamberth
6,3,Sun,September 22,4:05PM ET,boxscore,L,,0-2-1,,Carolina Panthers,38.0,20.0,21.0,21.0,248.0,413.0,127.0,240.0,121.0,173.0,2.0,1.0,-3.15,-19.08,3.46,/boxscores/201909220crd.htm,0,Field Judge,Terry Brown
0,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Referee,Shawn Smith
1,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Umpire,Bryan Neale
2,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Down Judge,Mark Hittner
3,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Line Judge,Bart Longson
4,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Back Judge,Dino Paganelli
5,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Side Judge,Dave Hawkshaw
6,4,Sun,September 29,4:05PM ET,boxscore,L,,0-3-1,,Seattle Seahawks,27.0,10.0,20.0,21.0,321.0,340.0,206.0,225.0,115.0,115.0,1.0,,-0.78,-10.61,-2.81,/boxscores/201909290crd.htm,0,Field Judge,Dyrol Prioleau
0,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Referee,John Hussey
1,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Umpire,Alan Eck
2,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Down Judge,Kevin Codey
3,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Line Judge,Carl Johnson
4,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Back Judge,Brad Freeman
5,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Side Judge,Jabir Walker
6,5,Sun,October 6,1:00PM ET,boxscore,W,,1-3-1,@,Cincinnati Bengals,23.0,26.0,26.0,21.0,514.0,370.0,248.0,262.0,266.0,108.0,,,21.22,-9.27,-8.95,/boxscores/201910060cin.htm,0,Field Judge,Allen Baynes
0,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Referee,Carl Cheffers
1,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Umpire,Mark Pellis
2,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Down Judge,Danny Short
3,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Line Judge,Jeff Seeman
4,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Back Judge,Matthew Edwards
5,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Side Judge,Eugene Hall
6,6,Sun,October 13,4:05PM ET,boxscore,W,,2-3-1,,Atlanta Falcons,33.0,34.0,24.0,31.0,442.0,444.0,340.0,341.0,102.0,103.0,,,23.23,-24.99,0.25,/boxscores/201910130crd.htm,0,Field Judge,Michael Banks
0,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Referee,Adrian Hill
1,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Umpire,Roy Ellison
2,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Down Judge,David Oliver
3,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Line Judge,Mark Stewart
4,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Back Judge,Greg Meyer
5,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Side Judge,Jim Quirk
6,7,Sun,October 20,1:00PM ET,boxscore,W,,3-3-1,@,New York Giants,21.0,27.0,18.0,21.0,245.0,263.0,89.0,156.0,156.0,107.0,,3.0,3.73,8.02,-2.98,/boxscores/201910200nyg.htm,0,Field Judge,Keith Washington
0,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Referee,Clay Martin
1,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Umpire,Fred Bryan
2,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Down Judge,Jerod Phillips
3,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Line Judge,Gary Arthur
4,8,Sun,October 27,1:00PM ET,boxscore,L,,3-4-1,@,New Orleans Saints,31.0,9.0,10.0,28.0,237.0,510.0,197.0,373.0,40.0,137.0,,1.0,-11.97,-24.66,9.91,/boxscores/201910270nor.htm,0,Back Judge,Gregory Wilson
