,Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Opp_2,Tm,1stD,1stD_2,TotYd,TotYd_2,PassY,PassY_2,RushY,RushY_2,TO,TO_2,Offense,Defense,Sp. Tms,,key,Unnamed: 0,DET,ARI
0,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,First Downs,23,21
1,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Rush-Yds-TDs,32-116-0,23-112-0
2,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Cmp-Att-Yd-TD-INT,27-45-385-3-0,29-54-308-2-1
3,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Sacked-Yards,3-24,5-33
4,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Net Pass Yards,361,275
5,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Total Yards,477,387
6,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Fumbles-Lost,3-2,0-0
7,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Turnovers,2,1
8,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Penalties-Yards,9-59,7-35
9,1,Sun,September 8,4:25PM ET,boxscore,T,OT,0-0-1,,Detroit Lions,27.0,27.0,21.0,23.0,387.0,477.0,275.0,361.0,112.0,116.0,1.0,2.0,-2.5,-7.02,9.8,/boxscores/201909080crd.htm,0,Third Down Conv.,6-18,9-22
